modello,indice,test,categoria,origine,messaggio
1b,9,test_point_box_relation_7,NameError,test,name 'point_box_relation' is not defined
1b,11,test_create_three_random_v_indices_1,AssertionError,test,"assert (2, 8, 4) == (0, 9, 8)"
1b,11,test_create_three_random_v_indices_2,AssertionError,test,"assert (1, 6, 10) == (4, 3, 2)"
1b,11,test_create_three_random_v_indices_3,AssertionError,test,"assert (18, 25, 17) == (0, 29, 28)"
1b,11,test_create_three_random_v_indices_4,AssertionError,test,"assert (39, 13, 32) == (5, 4, 3)"
1b,11,test_create_three_random_v_indices_5,AssertionError,test,"assert (20, 37, 47) == (1, 0, -1)"
1b,11,test_create_three_random_v_indices_6,AssertionError,test,"assert (34, 31, 52) == (-1, -2, -3)"
1b,11,test_create_three_random_v_indices_7,AssertionError,test,"assert (30, 17, 51) == (-2, -3, -4)"
1b,12,test_diffsents_1,NameError,test,name 'diffsents' is not defined
1b,12,test_diffsents_2,NameError,test,name 'diffsents' is not defined
1b,12,test_diffsents_3,NameError,test,name 'diffsents' is not defined
1b,12,test_diffsents_4,NameError,test,name 'diffsents' is not defined
1b,12,test_diffsents_5,NameError,test,name 'diffsents' is not defined
1b,12,test_diffsents_6,NameError,test,name 'diffsents' is not defined
1b,13,test_replacement_template_1,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_2,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_3,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_4,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_5,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_6,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_7,NameError,test,name 'replacement_template' is not defined
1b,13,test_replacement_template_8,NameError,test,name 'replacement_template' is not defined
1b,17,test_calc_query_pos_from_cigar_1,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_2,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_3,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_4,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_5,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_6,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_7,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,17,test_calc_query_pos_from_cigar_8,NameError,test,name 'calc_query_pos_from_cigar' is not defined
1b,18,test_get_processor_types_from_config_class_2[BertConfig],AssertionError,test,assert 13 == 1
1b,18,test_get_processor_types_from_config_class_2[DistilBertConfig],AssertionError,test,assert 19 == 1
1b,18,test_get_processor_types_from_config_class_4[BertConfig],AssertionError,test,assert 13 == 2
1b,18,test_get_processor_types_from_config_class_4[RobertaConfig],AssertionError,test,assert 16 == 2
1b,18,test_get_processor_types_from_config_class_6[XLNetConfig],AssertionError,test,assert 14 == 2
1b,18,test_get_processor_types_from_config_class_6[RobertaConfig],AssertionError,test,assert 16 == 2
1b,18,test_get_processor_types_from_config_class_8[RobertaConfig],AssertionError,test,assert 16 == 2
1b,18,test_get_processor_types_from_config_class_8[XLNetConfig],AssertionError,test,assert 14 == 2
1b,18,test_get_processor_types_from_config_class_no_mappings,AssertionError,test,assert () is None
1b,19,test_maximal_matching_pairs_1,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_2,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_3,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_4,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_5,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_6,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_7,NameError,test,name 'maximal_matching_pairs' is not defined
1b,19,test_maximal_matching_pairs_8,NameError,test,name 'maximal_matching_pairs' is not defined
1b,20,test_lflverify_5,AssertionError,test,assert 0 == 1
1b,20,test_lflverify_6,AssertionError,test,assert 0 == 1
1b,21,test_longestNonWildcardSubsequence_1,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_2,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_3,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_4,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_5,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_6,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_7,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_8,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,21,test_longestNonWildcardSubsequence_9,NameError,test,name 'longestNonWildcardSubsequence' is not defined
1b,22,test_windows_k_distinct_1,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_2,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_3,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_4,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_5,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_6,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_7,NameError,test,name 'windows_k_distinct' is not defined
1b,22,test_windows_k_distinct_8,NameError,test,name 'windows_k_distinct' is not defined
1b,23,test_string_contrast_1,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_2,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_3,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_4,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_5,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_6,NameError,test,name 'string_contrast' is not defined
1b,23,test_string_contrast_7,NameError,test,name 'string_contrast' is not defined
1b,24,test_max_rewards_1,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_2,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_3,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_4,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_5,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_6,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_7,NameError,test,name 'max_rewards' is not defined
1b,24,test_max_rewards_8,NameError,test,name 'max_rewards' is not defined
1b,25,test_circle_line_segment_intersection_1,AssertionError,test,assert [(-2.77350098...251471689219)] == [(2.236067977...606797749979)]
1b,25,test_circle_line_segment_intersection_2,AssertionError,test,assert [(-2.77350098...251471689219)] == []
1b,25,test_circle_line_segment_intersection_3,AssertionError,test,assert [(-3.53553390...339059327373)] == [(1.236067977...606797749979)]
1b,25,test_circle_line_segment_intersection_4,AssertionError,test,assert [(-2.93286969...094401862465)] == []
1b,25,test_circle_line_segment_intersection_5,TypeError,test,circle_line_segment_intersection() missing 1 required positional argument: 'pt2'
1b,25,test_circle_line_segment_intersection_6,AssertionError,test,assert [(-2.91227176...111775263645)] == []
1b,25,test_circle_line_segment_intersection_7,AssertionError,test,assert [(-3.53553390...533905932738)] == [(1.236067977...606797749979)]
1b,25,test_circle_line_segment_intersection_8,AssertionError,test,assert [(-2.91227176...111775263645)] == [(1.236067977...606797749979)]
1b,27,test_move_gain_1,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_2,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_3,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_4,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_5,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_6,NameError,test,name 'move_gain' is not defined
1b,27,test_move_gain_7,NameError,test,name 'move_gain' is not defined
1b,28,test_time_in_swiss_german_1,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_2,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_3,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_4,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_5,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_6,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_7,NameError,test,name 'time_in_swiss_german' is not defined
1b,28,test_time_in_swiss_german_8,NameError,test,name 'time_in_swiss_german' is not defined
1b,29,test_columnTransCipher_1,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_2,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_3,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_4,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_5,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_6,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_7,TypeError,funzione,'NoneType' object is not iterable
1b,29,test_columnTransCipher_8,TypeError,funzione,'NoneType' object is not iterable
1b,31,test_get_trackletpair_t_range_1,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_2,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_3,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_4,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_5,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_6,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_7,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,31,test_get_trackletpair_t_range_8,NameError,test,name 'get_trackletpair_t_range' is not defined
1b,32,TestGetBwWeight.test_g_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_m_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_e_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_h2_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_h3_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_stable_weight,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_exit_flagged_nodes,NameError,test,name 'get_bw_weight' is not defined
1b,32,TestGetBwWeight.test_position_not_supported,NameError,test,name 'get_bw_weight' is not defined
1b,33,test_coordinate_sorter_1,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_2,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_3,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_4,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_5,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_6,NameError,test,name 'coordinate_sorter' is not defined
1b,33,test_coordinate_sorter_7,NameError,test,name 'coordinate_sorter' is not defined
1b,34,test_get_past_goal_indices_1,AssertionError,test,assert 2 == 3
1b,34,test_get_past_goal_indices_2,AssertionError,test,"assert [0, 1] == []"
1b,34,test_get_past_goal_indices_3,AssertionError,test,assert 2 == 4
1b,34,test_get_past_goal_indices_4,DID NOT RAISE,test,eccezione attesa e non sollevata
1b,34,test_get_past_goal_indices_6,AssertionError,test,assert [0] == []
1b,34,test_get_past_goal_indices_7,DID NOT RAISE,test,eccezione attesa e non sollevata
1b,35,test__normalized_vcf_1,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_2,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_3,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_4,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_5,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_6,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_7,NameError,test,name '_normalized_vcf' is not defined
1b,35,test__normalized_vcf_8,NameError,test,name '_normalized_vcf' is not defined
1b,36,test_categorizeSentimentcomplex_1,AssertionError,test,assert 'astonished' == 'pleased'
1b,36,test_categorizeSentimentcomplex_2,AssertionError,test,assert '' == 'mad'
1b,36,test_categorizeSentimentcomplex_3,AssertionError,test,assert 'alarmed' == 'angry'
1b,36,test_categorizeSentimentcomplex_4,AssertionError,test,assert 'alarmed' == 'tired'
1b,36,test_categorizeSentimentcomplex_5,AssertionError,test,assert 'angry' == 'content'
1b,36,test_categorizeSentimentcomplex_6,AssertionError,test,assert 'mad' == 'astonished'
1b,36,test_categorizeSentimentcomplex_7,AssertionError,test,assert 'angry' == 'mad'
1b,36,test_categorizeSentimentcomplex_8,AssertionError,test,assert 'annoyed' == 'relaxed'
1b,37,test_uniformate2_1[FATHA],AssertionError,test,"assert ('', '') in ('FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_1[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_1[KASRA],AssertionError,test,"assert ('', '') in ('KASRA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_1[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_2[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_2[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_2[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_2[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_2[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_3[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_3[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_3[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_3[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_3[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_4[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_4[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_4[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_4[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_4[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_5[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_5[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_5[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_5[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_5[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_6[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_6[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_6[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_6[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_6[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_7[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_7[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_7[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_7[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_7[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_8[FATHA_FATHA],AssertionError,test,"assert ('', '') in ('FATHA_FATHA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_8[WAW_HARAKA],AssertionError,test,"assert ('', '') in ('WAW_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_8[YEH_HARAKA],AssertionError,test,"assert ('', '') in ('YEH_HARAKA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_8[DAMMA],AssertionError,test,"assert ('', '') in ('DAMMA', 'NOT_DEF_HARAKA')"
1b,37,test_uniformate2_8[SUKUN],AssertionError,test,"assert ('', '') in ('SUKUN', 'NOT_DEF_HARAKA')"
1b,38,test_wordparamcheck_1,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_2,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_3,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_4,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_5,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_6,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_7,NameError,test,name 'wordparamcheck' is not defined
1b,38,test_wordparamcheck_8,NameError,test,name 'wordparamcheck' is not defined
1b,39,test_splitIA2Attribs_1,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_2,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_3,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_4,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_5,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_6,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_7,NameError,test,name 'splitIA2Attribs' is not defined
1b,39,test_splitIA2Attribs_8,NameError,test,name 'splitIA2Attribs' is not defined
1b,40,test_decode_address_entry_1,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_2,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_3,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_4,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_5,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_6,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_7,NameError,test,name 'decode_address_entry' is not defined
1b,40,test_decode_address_entry_8,NameError,test,name 'decode_address_entry' is not defined
1b,41,test_make_similar_1,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_2,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_3,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_4,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_5,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_6,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_7,NameError,test,name 'make_similar' is not defined
1b,41,test_make_similar_8,NameError,test,name 'make_similar' is not defined
1b,42,test_generateResultTree_1,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_2,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_3,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_4,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_5,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_6,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_7,NameError,test,name 'generateResultTree' is not defined
1b,42,test_generateResultTree_8,NameError,test,name 'generateResultTree' is not defined
1b,43,test_identify_distance_type_1,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_2,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_3,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_4,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_5,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_6,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_7,AssertionError,test,assert 'ins' is False
1b,43,test_identify_distance_type_8,AssertionError,test,assert 'ins' is False
1b,45,test_min_edit_script_1,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_2,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_3,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_4,NameError,test,name 'min_edit_script' is not defined
